Display Name,Yahoo Ticker,Coordination Priority,Portfolio Bucket,Theme,Weight %,Day Change %,Day P&L,Current Value,Suggested Discussion
Neuland Laboratories,NEULANDLAB.NS,High,Anchor exposure,Pharma,19.916998117338192,-1.4867485455720697,-13800.0,914400.0,Large exposure; confirm that the thesis and risk limit are still appropriate.
Vardhman Textiles,VTL.NS,High,Positive momentum,Textiles,1.4402141065490885,5.078225402127323,3195.4986572265625,66120.99731445312,Strong daily move; watch whether it follows through or simply retraces.
Magadh Sugar & Energy,MAGADSUGAR.NS,High,Event watch,Sugar / Energy,1.3391578055559203,-5.201682723870793,-3373.5513305664062,61481.448669433594,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
Pearl Global Industries,PGIL.NS,Medium,Core exposure,Textiles / Apparel,7.173429811536507,-4.521476754469623,-15596.0205078125,329335.986328125,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
BSE,BSE.NS,Medium,Core exposure,Market Infrastructure,6.315609435247911,-1.8372958204791234,-5427.00439453125,289952.99560546875,Meaningful exposure; keep the thesis and technical structure under review.
Laurus Labs,LAURUSLABS.NS,Medium,Core exposure,Pharma,6.033582587070007,-3.566582184236289,-10245.00732421875,277004.99267578125,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
Viyash Scientific,VIYASH.NS,Medium,Core exposure,Pharma,5.672990379252133,-1.194990069631252,-3149.993896484375,260450.01220703125,Meaningful exposure; keep the thesis and technical structure under review.
AstraZeneca Pharma India,ASTRAZEN.NS,Medium,Monitor,Pharma,3.9132632127744746,-2.765074227819597,-5109.0,179660.0,No urgent action; monitor with the rest of the portfolio.
Ramco Industries,RAMCOIND.NS,Medium,Event watch,Building Materials,2.8308863219763247,-3.932085709574118,-5319.604919433594,129967.5,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
Ashok Leyland,ASHOKLEY.NS,Medium,Event watch,Auto,2.203416013219769,-4.008194779433438,-4223.9959716796875,101160.00366210938,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
Avadh Sugar & Energy,AVADHSUGAR.NS,Medium,Event watch,Sugar / Energy,1.3160596492210093,-4.536418607123904,-2871.1990966796875,60421.0,Sharp daily weakness; check whether this is event-driven or part of wider sector pressure.
Network18 Media & Investments,NETWORK18.NS,Medium,Monitor,Media,0.35408823770515707,2.754315139949526,435.75,16256.379734039307,No urgent action; monitor with the rest of the portfolio.
