Name,Free Qty,Pledged Qty,Day Change %,LTP,Quantity,Day Change,Current Value,Source Name,Display Name,Symbol,Yahoo Ticker,Theme,Ticker Confidence,Ticker Note,Day P&L,Weight %,Portfolio Bucket,Coordination Priority,Suggested Discussion,Technical Downloaded,Technical Status,Technical Score,Technical Note,Technical Error,RS Trend,RS vs 50D %,RS 3M %,RS Leader,RSI 14,P&F Signal,Above 50DMA,Above 200DMA,50DMA Distance %,200DMA Distance %,52W High Distance %,Price Source,Price Date,Last Refreshed,Evidence Quality,Signal Agreement,Signal Note,Previous Close,Session Volume,Volume vs 20D,Price Timestamp,Quote Type,Quote Status,Quote Note,Intraday Alert,Technical As Of,P&L Matched,P&L Lots,P&L Quantity,Costed Quantity,Uncosted Quantity,Known Cost Value,Average Recorded Cost,Broker Unrealized P&L,Return on Recorded Cost %,Earliest Buy Date,Latest Buy Date,Cost Basis Coverage %,Quantity Reconciliation %,Cost Basis Status,Cost Basis Note
ADITYA BIRLA LIFES BRAN L,300.0,0.0,-1.528632073704106,78.58999633789062,300.0,-1.220001220703125,23576.998901367188,ADITYA BIRLA LIFES BRAN L,Aditya Birla Lifestyle Brands,Aditya Birla Lifestyle Brands,ABLBL.NS,Consumption / Apparel,Mapped,Ticker mapped for Yahoo/NSE refresh.,-366.0003662109375,0.5428329563754415,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Risk review,0.0,Relative strength is below its 50-day average; rsi is weak or oversold; p&f shows a bearish breakdown,,"[100.0,98.81,96.63,98.73,97.28,96.68,95.93,95.75,95.45,95.71,95.52,95.23,97.32,98.41,95.37,95.4,95.43,94.25,94.93,95.34,95.33,93.71,93.42,91.32,92.25,91.89,94.66,92.46,91.68,91.14,90.42,92.0,91.74,90.12,88.71,88.55,88.97,88.18,91.43,90.09,89.56,88.43,88.19,88.1,87.42,87.42,87.47,88.47,88.72,87.04,87.93,87.31,87.14,87.34,86.53,86.54,87.04,86.54,83.83,83.7,82.41,81.93,81.45,82.42,81.6,79.9,79.19,78.76,77.81,77.75,78.43,77.76,77.01,78.57,78.34,76.54,76.99,79.55,79.4,78.27,78.46,78.5,78.13,79.16,78.62,77.88,76.05,75.8,74.37,75.17]",-8.355470365763773,-20.596965123529,False,23.03,Bearish P&F breakdown,False,False,-10.719818006946936,-22.193754811191223,-46.58057977243555,ABLBL.NS,2026-09-24,2026-09-24T18:01+05:30,High,Broad weakness,Several measured trend and momentum signals agree negatively.,79.80999755859375,942419.0,1.5469589589753905,2026-09-24 15:30 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,True,1.0,300.0,300.0,0.0,300.0,1.0,28155.0,9385.0,2025-06-20,2025-06-20,100.0,100.0,Corporate action cost review,"Quantity reconciles, but the recorded cost is nominal or produces an extreme return; confirm the corporate-action cost allocation before relying on it."
ASHOK LEYLAND LTD,600.0,0.0,-3.431761531608102,157.3000030517578,600.0,-5.589996337890625,94380.00183105467,ASHOK LEYLAND LTD,Ashok Leyland,Ashok Leyland,ASHOKLEY.NS,Auto,Mapped,Ticker mapped for Yahoo/NSE refresh.,-3353.997802734375,2.172989685031546,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Risk review,0.0,Technical data was not strong enough to classify clearly.,,"[100.0,99.28,100.25,101.08,103.38,106.17,103.35,105.25,101.5,99.0,98.47,98.54,97.18,98.12,96.13,96.84,96.68,95.44,102.56,104.66,104.56,104.96,103.88,102.6,102.57,99.73,101.72,106.12,104.32,104.11,106.43,107.46,107.35,108.02,106.74,103.08,101.02,101.3,102.24,100.21,100.8,100.02,100.56,99.67,98.84,99.04,98.92,99.09,100.42,101.78,101.44,101.86,106.61,110.78,109.73,112.85,113.75,113.45,110.45,110.9,111.82,111.27,109.18,112.54,112.45,110.35,110.31,109.69,109.8,110.21,113.15,112.22,110.93,110.33,108.54,107.63,108.26,108.29,109.39,108.5,107.8,107.63,106.08,103.64,103.52,103.93,105.87,105.08,105.23,104.3]",-2.5032272361191654,2.541272603393918,False,37.08,"Falling P&F column, wait for reversal",False,False,-5.7863794573257294,-7.473394722338645,-24.507652297717808,ASHOKLEY.NS,2026-09-24,2026-09-24T18:01+05:30,High,Broad positive confirmation,Most measured trend and momentum signals agree positively.,162.88999938964844,8136735.0,0.7000996429027067,2026-09-24 15:15 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,True,2.0,600.0,300.0,300.0,50712.3,169.041,55487.7,109.41665039842404,2023-06-19,2025-07-16,50.0,100.0,Corporate action cost review,"Quantity reconciles, but one or more lots carry zero recorded cost, usually requiring corporate-action cost allocation."
ASTER DM QUALITY CARE LTD,180.0,0.0,1.1315093427034295,768.6500244140625,180.0,8.60003662109375,138357.00439453125,ASTER DM QUALITY CARE LTD,Aster DM Quality Care,Aster DM Quality Care,ASTERDM.NS,Healthcare,Mapped,Ticker mapped for Yahoo/NSE refresh.,1548.006591796875,3.185508980380796,Monitor,Medium,No urgent action; monitor with the rest of the portfolio.,True,Monitor,35.0,Price is above the 200dma; rsi is in a constructive momentum zone,,"[100.0,98.29,99.89,99.42,98.94,96.71,97.6,95.42,95.17,95.36,96.11,97.12,97.7,100.2,102.77,104.73,109.25,110.27,107.88,102.73,101.26,99.13,101.72,104.31,101.41,99.23,99.44,99.94,99.88,101.9,100.11,101.52,101.94,101.27,100.96,101.21,103.38,102.37,102.96,103.32,104.49,103.2,104.51,103.27,102.77,102.17,101.33,101.39,102.14,103.44,103.4,103.19,103.78,101.8,104.73,105.64,106.48,109.38,108.31,106.7,103.09,102.41,102.93,102.5,102.63,100.37,95.62,95.01,93.62,94.99,94.76,93.95,92.93,93.44,94.91,95.85,98.99,99.07,100.74,99.84,99.12,97.71,97.27,96.5,96.47,98.06,96.5,96.73,96.62,100.28]",-0.01690983195089535,0.8455149666697581,False,49.18,"Falling P&F column, wait for reversal",False,True,-2.890601637611956,8.802908534043507,-11.61894749622171,ASTERDM.NS,2026-09-24,2026-09-24T18:01+05:30,High,Broad positive confirmation,Most measured trend and momentum signals agree positively.,760.0499877929688,1537346.0,1.3745864427432537,2026-09-24 15:25 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,True,1.0,180.0,180.0,0.0,57941.568,321.8976,91998.43,158.77794332386722,2023-01-08,2023-01-08,100.0,100.0,Cost basis available,Quantity and recorded acquisition cost reconcile with the current holding.
ASTRAZENECA PHARMA IND LT,26.0,0.0,-1.7148821950492057,6591.0,26.0,-115.0,171366.0,ASTRAZENECA PHARMA IND LT,AstraZeneca Pharma India,AstraZeneca Pharma India,ASTRAZEN.NS,Pharma,Mapped,Ticker mapped for Yahoo/NSE refresh.,-2990.0,3.945502682143301,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Risk review,0.0,Relative strength is below its 50-day average; rsi is weak or oversold; p&f shows a bearish breakdown,,"[100.0,101.24,99.75,99.78,99.62,101.09,102.43,98.76,100.06,102.43,102.15,100.93,99.99,101.38,99.28,99.37,98.82,98.92,96.87,97.58,97.92,97.73,97.61,96.41,97.61,97.85,96.76,96.73,93.25,94.8,93.58,93.85,94.75,93.48,93.11,93.76,92.2,91.13,92.93,92.41,92.5,91.16,90.73,90.52,90.65,91.05,90.22,91.65,92.33,91.05,91.75,91.03,91.11,92.36,91.8,90.64,90.74,91.8,90.04,88.38,87.72,86.27,86.47,85.13,85.47,83.84,83.54,82.43,80.34,79.04,79.26,79.15,78.63,76.56,77.19,77.19,77.79,78.01,77.29,77.39,77.83,77.93,76.84,77.67,77.74,76.61,76.89,75.75,75.96,76.62]",-8.99822108555599,-20.806189862243297,False,25.24,Bearish P&F breakdown,False,False,-11.239989219838886,-19.804547634521374,-32.633488657701214,ASTRAZEN.NS,2026-09-24,2026-09-24T18:01+05:30,High,Broad weakness,Several measured trend and momentum signals agree negatively.,6706.0,4675.0,0.8394232668378432,2026-09-24 15:25 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,True,1.0,26.0,26.0,0.0,99475.6048,3825.9848,109538.4,110.1158421908886,2023-03-07,2023-03-07,100.0,100.0,Cost basis available,Quantity and recorded acquisition cost reconcile with the current holding.
AVADH SUG & ENERGY LTD,74.0,0.0,-0.9168051886899176,724.0999755859375,74.0,-6.70001220703125,53583.398193359375,AVADH SUG & ENERGY LTD,Avadh Sugar & Energy,Avadh Sugar & Energy,AVADHSUGAR.NS,Sugar / Energy,Mapped,Ticker mapped for Yahoo/NSE refresh.,-495.8009033203125,1.2336953730042828,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Constructive,65.0,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average,,"[100.0,99.32,97.3,97.35,96.58,94.99,93.18,89.98,91.81,93.46,94.77,97.91,99.14,95.7,99.32,96.89,96.21,96.74,94.01,94.26,92.35,91.66,91.89,90.76,91.87,92.52,91.3,90.99,95.63,94.58,97.52,98.28,103.32,107.97,104.49,102.03,104.42,104.43,107.0,107.61,105.93,106.31,108.92,107.75,111.66,111.48,110.57,108.52,108.86,107.43,104.72,103.87,101.83,111.67,123.51,122.33,121.68,120.99,126.96,126.81,124.94,126.71,130.84,145.14,142.83,149.35,162.85,166.69,166.06,160.16,161.94,160.28,164.97,169.2,165.03,163.86,167.32,163.35,170.16,169.07,167.17,162.09,157.01,152.67,151.28,148.77,149.42,149.87,148.69,151.2]",9.24013427408692,65.62042658992901,True,44.45,"Falling P&F column, wait for reversal",True,True,4.33115904309902,49.264915862803434,-15.33964855367087,AVADHSUGAR.NS,2026-09-24,2026-09-24T18:01+05:30,High,Broad positive confirmation,Most measured trend and momentum signals agree positively.,730.7999877929688,33429.0,0.2728271013640539,2026-09-24 15:25 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,False,,,,,,,,,,,,,No matched cost record,No matching open lot was found in the supplied P&L report.
BSE LIMITED,90.0,0.0,-2.6569206482121466,3183.800048828125,90.0,-86.89990234375,286542.00439453125,BSE LIMITED,BSE,BSE,BSE.NS,Market Infrastructure,Mapped,Ticker mapped for Yahoo/NSE refresh.,-7820.9912109375,6.5972961199149225,Core exposure,Medium,Meaningful exposure; keep the thesis and technical structure under review.,True,Risk review,0.0,Relative strength is below its 50-day average,,"[100.0,100.81,100.98,100.48,100.51,101.84,103.97,100.23,99.3,98.59,95.28,96.64,97.86,94.5,96.29,97.06,96.8,96.57,98.04,98.75,99.03,94.86,94.92,94.95,94.9,93.61,92.03,92.22,92.28,92.03,93.26,90.21,89.9,89.17,86.37,88.97,89.34,88.64,88.32,88.55,87.42,86.05,83.9,84.93,85.06,85.3,84.97,84.18,82.82,80.8,82.23,82.24,84.58,82.04,83.42,81.48,79.6,79.9,82.54,82.68,80.7,79.97,79.28,76.56,76.27,77.27,75.53,74.3,75.9,75.34,75.99,76.12,77.7,74.54,74.61,73.43,76.42,79.0,80.18,78.79,76.79,77.45,79.27,79.18,77.49,77.21,76.71,74.25,76.4,76.33]",-3.988375583257353,-17.059239170320183,False,41.03,"Falling P&F column, wait for reversal",False,False,-6.579130699144797,-3.7661208731273765,-27.5046412924151,BSE.NS,2026-09-24,2026-09-24T18:01+05:30,High,Mixed evidence,The indicators do not yet agree strongly enough for a directional classification.,3270.699951171875,5654318.0,1.4292868804316214,2026-09-24 15:15 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,True,2.0,90.0,30.0,60.0,91806.75,3060.225,226307.25,246.50393353429897,2024-04-23,2025-05-23,33.33333333333333,100.0,Corporate action cost review,"Quantity reconciles, but one or more lots carry zero recorded cost, usually requiring corporate-action cost allocation."
EASY TRIP PLANNERS LTD,1500.0,0.0,-1.1924990832866356,5.800000190734863,1500.0,-0.0699996948242187,8700.000286102295,EASY TRIP PLANNERS LTD,Easy Trip Planners,Easy Trip Planners,EASEMYTRIP.NS,Travel,Mapped,Ticker mapped for Yahoo/NSE refresh.,-104.99954223632812,0.200307379897203,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Risk review,0.0,Relative strength is below its 50-day average; p&f shows a bearish breakdown,,"[100.0,95.99,96.12,95.89,96.36,95.06,94.58,87.53,85.86,84.85,84.32,84.19,80.79,82.19,82.47,95.7,108.78,103.34,101.31,100.3,99.23,98.46,94.59,94.02,92.73,93.34,89.39,85.86,83.79,82.25,85.36,84.93,82.56,82.54,83.36,81.61,79.34,80.13,81.62,81.15,79.07,79.53,79.66,79.64,79.41,79.86,81.09,80.89,79.75,76.9,78.04,76.32,76.57,75.64,75.88,75.52,76.49,75.94,74.96,75.36,73.93,70.57,73.51,70.34,70.92,70.33,69.8,71.55,69.91,69.6,70.06,69.68,69.74,69.19,68.84,69.45,68.91,69.42,69.83,68.86,69.59,67.73,68.2,69.05,69.04,68.5,67.56,67.92,68.47,69.44]",-4.782342855801424,-22.320557440119103,False,38.52,Bearish P&F breakdown,False,False,-7.268247523724625,-18.71969229562763,-39.771545983293166,EASEMYTRIP.NS,2026-09-24,2026-09-24T18:01+05:30,High,Broad weakness,Several measured trend and momentum signals agree negatively.,5.869999885559082,8230467.0,0.5727663687888016,2026-09-24 15:25 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,True,1.0,1500.0,0.0,1500.0,0.0,,9840.0,,2024-11-29,2024-11-29,0.0,100.0,Corporate action cost review,"Quantity reconciles, but one or more lots carry zero recorded cost, usually requiring corporate-action cost allocation."
EICHER MOTORS LTD,15.0,0.0,-1.7603748326639912,7338.5,15.0,-131.5,110077.5,EICHER MOTORS LTD,Eicher Motors,Eicher Motors,EICHERMOT.NS,Auto,Mapped,Ticker mapped for Yahoo/NSE refresh.,-1972.5,2.534406308682173,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Risk review,0.0,Rsi is weak or oversold,,"[100.0,98.69,97.73,98.6,99.74,104.88,103.81,104.34,102.46,102.61,103.15,103.56,102.83,102.64,103.31,104.28,106.01,106.29,105.74,108.78,107.22,106.17,107.13,107.15,107.16,107.27,106.88,107.87,105.83,100.38,100.62,101.67,103.05,104.44,105.33,105.22,103.0,101.84,100.72,101.05,102.51,102.99,105.32,104.69,106.13,106.56,108.99,107.55,108.17,108.86,107.39,109.59,109.16,110.98,109.91,110.61,110.91,111.35,109.96,110.22,110.64,111.09,111.46,111.12,111.06,110.65,110.87,110.31,110.75,110.38,110.3,111.3,110.47,108.52,110.19,107.38,106.78,106.2,107.23,108.04,108.45,108.32,105.96,107.1,107.76,106.64,106.04,106.01,104.83,105.69]",-2.5566402250118303,-1.1059066024973085,False,29.95,"Falling P&F column, wait for reversal",False,False,-5.738424816262711,-0.20135689139763047,-9.458510705334822,EICHERMOT.NS,2026-09-24,2026-09-24T18:01+05:30,High,Broad positive confirmation,Most measured trend and momentum signals agree positively.,7470.0,257918.0,0.6151728141691197,2026-09-24 15:10 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,True,1.0,15.0,15.0,0.0,44432.8095,2962.1873,75364.69,169.61495536310844,2022-07-07,2022-07-07,100.0,100.0,Cost basis available,Quantity and recorded acquisition cost reconcile with the current holding.
FREDUN PHARMACEUTICALS LIMITED,120.0,0.0,-2.417500084065638,1360.300048828125,120.0,-33.699951171875,163236.005859375,FREDUN PHARMACEUTICALS LIMITED,Fredun Pharmaceuticals,Fredun Pharmaceuticals,FREDUN.NS,Pharma,Mapped,Ticker mapped for Yahoo/NSE refresh.,-4043.994140625,3.758319030265768,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Constructive,65.0,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average Latest refresh unavailable; showing the previous successful technical snapshot.,Latest refresh unavailable; showing the previous successful technical snapshot. Not enough daily price history,"[100.0,97.81,97.72,96.0,100.0,98.15,98.69,94.73,94.62,95.71,107.82,106.08,108.24,110.36,111.75,106.24,109.17,109.06,117.01,126.48,130.89,125.62,118.83,119.3,127.69,122.58,121.77,121.95,121.31,118.12,120.26,122.45,129.51,126.65,119.6,119.68,118.23,126.34,122.8,121.69,119.73,118.06,118.87,119.41,118.65,120.97,118.11,118.51,117.11,127.37,130.88,130.72,130.79,128.21,125.3,129.27,135.44,138.29,141.67,140.26,137.23,128.94,125.79,128.39,129.73,130.79,126.7,134.83,140.7,138.8,146.83,141.55,136.49,134.63,134.32,134.33,133.62,133.27,137.83,152.79,161.88,191.54,179.12,181.92,176.86,185.16,201.75,216.36,225.22,211.27]",47.40474210112835,73.49790172983344,True,71.95,"Falling P&F column, wait for reversal",True,True,49.00208138102906,107.25007369400896,-6.099177800940881,FREDUN.NS,2026-09-24,2026-09-24T18:01+05:30,High,Mixed evidence,The indicators do not yet agree strongly enough for a directional classification.,1394.0,28619.0,0.4543210425301899,2026-09-24 15:25 IST,Yahoo 5-minute quote,Updated,,,2026-08-17,True,2.0,120.0,40.0,80.0,101414.0,2535.35,56182.0,55.39866290650206,2026-05-05,2026-07-16,33.33333333333333,100.0,Corporate action cost review,"Quantity reconciles, but one or more lots carry zero recorded cost, usually requiring corporate-action cost allocation."
GANGES SECURITIES LIMITED,87.0,0.0,-3.052839975045951,112.0999984741211,87.0,-3.529998779296875,9752.699867248535,GANGES SECURITIES LIMITED,Ganges Securities,Ganges Securities,GANGESSECU.NS,Financials,Mapped,Ticker mapped for Yahoo/NSE refresh.,-307.1098937988281,0.2245445624240964,Monitor,Low,No urgent action; monitor with the rest of the portfolio.,True,Risk review,0.0,Technical data was not strong enough to classify clearly.,,"[100.0,98.86,97.76,97.05,97.18,96.86,96.81,95.57,97.7,97.52,96.94,98.8,97.28,97.38,98.63,97.8,100.44,97.74,99.42,97.98,98.86,96.97,95.26,93.58,94.86,96.1,95.78,94.99,95.08,93.32,93.32,93.59,93.89,93.78,92.25,90.64,91.28,90.25,90.08,91.53,90.19,91.94,90.44,89.28,88.91,90.12,91.27,91.21,90.46,90.99,88.17,88.02,86.82,91.11,91.01,92.19,91.12,90.23,88.74,89.59,89.56,87.79,90.18,91.46,91.54,90.74,92.69,92.48,93.23,93.13,91.8,89.08,88.19,88.44,89.88,90.39,91.69,91.0,93.83,91.11,89.57,89.61,89.21,89.85,91.01,88.61,88.7,88.75,89.37,88.92]",-1.4970153532694708,-7.165619534399359,False,38.43,"Falling P&F column, wait for reversal",False,False,-4.5967202711932,-8.985916800271621,-30.86647999155332,GANGESSECU.NS,2026-09-24,2026-09-24T18:01+05:30,High,Mixed evidence,The indicators do not yet agree strongly enough for a directional classification.,115.62999725341795,2358.0,1.261468503410459,2026-09-24 15:25 IST,Yahoo 5-minute quote,Updated,,,2026-09-24,False,,,,,,,,,,,,,No matched cost record,No matching open lot was found in the supplied P&L report.
